Bangla,Chittagong
বাসায় আমি ছাড়া কেও কিছু জানে না,বাসাত আই ছাড়া হনিক্কায় হনো কিছু নো যানে
আমার বাবা বেচে নেই,আর বাবা বাসি নাই
সমাজে সবাই আমাদের অনেক সম্মান দিয়ে চলে,সমাজত বেয়াক্কুন আরারে সম্মান দি চলে
আমার বোন কেন এই পথে পা বাড়ালো জানাজানি হলে কিভাবে মুখ দেখাবো সেই চিন্তায় ঘুমাতে পারছি না,আর ভোইন কিল্লাই এই ফোতত ফা বাড়াইয়ে জানাজানি অইলে কেনে মুখ দেহাইয়ুম সেই চিন্তায় গুম যাইন্নফারির
বাসায় কাকে জানাবো কিভাবে জানাবো বুঝতেছিনা,বাসাত হারে হইয়ুম কেনে হইয়ুম নো বুজির
আমি আমার বোনের চেয়ে অনেক বছরের ছোট,আই আর ভোইনত্তুন বউত বছরের ছোড
আমার বোনকে কিভাবে এই পথ থেকে সরিয়ে আনবো কিছুই বুঝতে পারছি না,আর ভোইনেরে কেনে এই ফতেত্তুন সরাই আইন্নুম হনক্কিসু নো বুজির
বাসায় ভয়ে বলতে পারছি না,বাসাত ডরে হইন্নুফারির
যদি আমি জেনে গেছি শুনে আমার ক্ষতি করার চেষ্টা করে,যদি আই জানি গিয়ে ইন ফুনিলে আর ক্ষতি গরিবেল্লাই চেষ্টা গরিব
ঐ লোক যদি আমার বোনের কোনো ক্ষতি করে,বেডা ইবা যদি আর ভোইনর হনো হতি গরে
কি করা উচিত এমন পরিস্থিতিতে,কি গরন উচিত এইল্লে ফরিস্থিতিত
আমার মনে হচ্ছে আমি জেনে গেছি শুনে ওরা আমাকে খুন করতেও দুইবার ভাববে না,আত্তুন মনত অরদে ইতারা জানি গেইলই আরে মারিফেলিবেল্লাই ইতারা দুইবার চিন্তা নো গরিবো
এতো এতো সংসারের ঝামেলা দেখে পোস্ট করা,এতো এতো সংসারর ঝামেলা সাইয়েরে পোস্টান গরন
সন্ধ্যায় আমার মা এসে আমাকে অভিযোগ দিলো আমার বাবার সাথে ঝগড়া হয়েছে আবার,সন্ধ্যায় আয়ার মা আইয়েরে আরে অভিযোগ গরের আর বাফোর ফোওয়ারিত ঝগরা অইয়ে।
আগে পরের হিসাব বাদ আজকে ঝগড়ার বিষয় আব্বু বিদেশে থাকে,আগের হতা বাদ আজিয়া ঝগরার বিষয় আব্বু বিদেশত তাজে
সে সারাদিন কত কষ্ট করে কাজ করে,"সে গোডা দিন হত হস্ট গরের,"
এক বেলা খাওয়ার সময় পায় এসব আম্মু কে বলছে,এক বেলা হানাহাইবার সমত ফায় ইয়েন আম্মুরে হইয়ে
আম্মু তখন উলটে বলছে আমি ও সারাদিন অনেক কাজ করি,আম্মু তহন উল্ডা হইয়ে আইও গোডা দিন বহুত হাম গোরে
গত কাল না খেয়ে রোজা ছিলাম,গত হালিয়া না হাইয়েরে রোজা আসিলাম
এটা শুনে আব্বু রেগে ফোন কেটে দিছে,আব্বু ইয়ান ফুনিয়েরে রাগি ফোন হাডি দিয়ি
আমি আম্মু কে বললাম আব্বু শুনতে চাইছে একটু সান্ত্বনা ,আই আম্মুরে হইলাম আব্বু সান্ত্বনা ফুনিবেল্লাই সাইয়ে
আমিও বুঝি তুমি অনেক কষ্ট করো,আইও বুঝি তুই বহুত হস্ট গর
আম্মুর কথা কয়দিন আগে আমি তাকে একটা কষ্টের কথা বলছি,আম্মুর হতা হয়েকদিন আগোদি আই তারে এক্কান হস্টের হতা হইয়ি
সে আমার সাথে কি করলো আমাকে ও তাই করতে হবে,সে কি হাম গইজ্জে ইন আত্তুনও গরন ফরিবো
এমন মনোভাব নিয়ে সংসারে কখনো সুখ আসে না,এইল্লে মনভাব লইয়েরে হনোদিন সুখ নো আইবো
আমার মার কাছে আমার জামাই খুব ভাল,আর মার হাসে আর জামাই বেস গম
এক কথায় সোনার টুকরো স্বামী আমার,এক হতায় সোনার টুকরা জামাই আর
"আমাকে বোঝে, আমার সব কথা শোনে",আরে বুঝে আর বেয়াগ হতা মানে
আমার হয়ে প্রতিবাদ করে আরো কত গুন,আর অইয়েরে ফ্রতিবাদ গরে আরো হত গুন
আমি তাকে এইগুলো শিখাইছি,আই তারে ইন শিকাইয়ি
আমি রেগে থাকলেও সে বুঝতো না,আই রাগি তাকিলেও সে নো বুজিতো
আমি পাশে বসায়ে বলছি যে এই কাজের জন্য আমার খারাপ লাগছে,আই পাশে বাসাত হইয়ি এই হামোরলাই আর হারাপ লার
এখন তুমি আমার কাছে ক্ষমা চাও,এহন তুই আর হাসে মাফ সদ্দে
আমি তাকে কখনো তার কোনো কাজ নিয়ে খোটা দেই নি,আই তারে তার হামরলাই হডা নো দি!
আমি একটা কষ্টের কথা বললে সে নিজের কষ্টের কথা বলছে,আই এক্কান হষ্টের হতা হইলে সেও নিজের হষ্টের হতা হর
আমি আমার বিষয় সাইডে রেখে তাকে সান্ত্বনা দিছি,আই আর বিষয়কান সাইডে রাহিয়েরে তারে সান্তনা দোন ফোরের
সে যেভাবে আমাকে আশা করছে আমি নিজেকে সেভাবে উপস্থাপন করছি,সে জেইল্লে আত্তুন আসা গরে এইল্লে আই নিজেরে রাহি
আমার কখনো মনে হয় নি আমি কেন ছোট হবো,আর হনো সমত মনত নো অয় আই ছোট অইয়ুম!
ও আমার সাথে এটা করছে আমিও ওর সাথে এটা করবো,ও আর ফোয়ারিত ইয়ান গইজ্জে এতাল্লাই আইও ইয়ান গইজ্জুম
ও বোঝে না আমার ঠেকা নাই বুঝানোর,ইতে নো বুজে আত্তুনও ঠেকা আসে না আইও বুজাইতাম
মানুষ যার যার নিজের মত,মানুষ যার যার নিজের ডইল্লে
আমি বিশ্বাস করি কাউকে যদি আমি নিজের মত চাই তাহলে নিজের মত বানিয়ে নিতে হবে,আই বিশ্বাস গরি হনইক্কে যদি আরে নিজের ডইল্লে চায় তাইলে বানাইত্তারিবো
কাউকে নিজের মত বানানোর জন্য আগে আমাকে তার মত হতে হবে,হনইক্কেরে নিজের ডইল্লে বানাইবের আগদ্দি আরে তার ডইল্লে অন ফরিব
এটা জরুরি না সব সময় সব কিছু অপর জন করবে,ইয়ান জরুরি নো সব সমত বেয়াক্ককিসু অরেকজন গরিবো
আপনি নিজে কিছু একটা করেন,অনে নিজে কিছু এক্কা গরন
আমার স্বামী পর পর ৩ বছর আমার জন্মদিন মনেও রাখে নি, আই জামাই ফর ফর ৩ বছর আর জন্মদিন মনত নো রাহে
আমি পর পর ৩ বছর তাকে সারপ্রাইজ দিয়েছি জন্মদিনে,আই ফর ফর ৩ বছর তারে সারপ্রাইজ দিয়ি জন্মদিন
আমি কিন্তু এটা ভাবি নি যে ও মনে রাখে না আমি কেন করতে যাবো,আই কিন্তু ইয়ান চিন্তা নো গরি যে ও মনত নো রাহে আই কিল্লাই মনত রাহিতাম
আর এবছর সে বিশাল করে সারপ্রাইজ দিয়েছে আমাকে,আর এই বছরত যেই বিশাল গরিয়েরে সারপ্রাইজ দিয়ে আরে
কেক এর উপর লেখা ছিল শুভ জন্মদিন আমার বউ,কেকের উদ্দি লেখা আসিল দে শুভ জন্মদিন আর বউ
সময় লেগেছে কিন্তু আমি যা তার থেকে চাই সেটা কিন্তু ঠিক বের করে এনেছি,সময় লাইজ্ঞে যিন আই তাত্তুন সাইয়ি ঠিক বাইর গরি ফেইল্লি
কাউকে তোমার কথা শুনাতে হতে আগে তুমি তার কথা শোনো,হনিক্কের হতা ফুনার আগদ্দি ইতার হতা ফুনো!
আমরা তিন ভাই বোন আমি সবার বড়,আরা ৩ ভাই ভোইন আই বেয়াক্কুনের ডোর
"আমার মা ,ভাই, বোন বরিশালে থাকে",আর মা ভাই ভোইন বরিশাল তাহে
আমি সিলেট থাকি,আই সিলেট তাহি
ঢাকায় এসেছি এসএসসি পরীক্ষা দিয়ে,ঢাহাত আইয়েরে এসএসসি ফরিক্ষা দিয়ি
"ছোট খালার বাসায়,তার বাসায় থেকেই পড়ালেখা করে এইচএসসি পরীক্ষা দিয়েছি",ছোড হালার বাসাত তাকিয়েরে ফন্না ফরিয়েরে এইচএসসি ফরিক্ষা দিয়ি
আমার খালার বাসাতে ফেরা কি ঠিক হবে,আর হালার বাসাত যন কি ঠিক অইবনা
আম্মু খালা লেখাপড়ার জন্য ঢাকায় ফিরতে বলবে আমি যেতে পারবো না,আম্মু হালা লেহাফড়ার লাই ঢাহাত যাইতে হইলে আই যাইন্ন ফাইজ্জুম
ঐ লোকের সামনে আমি দাঁড়াতে পারবোনা, ঐ লোকর সামনোদি আই দারাইন্নো ফাইজ্জুম
আমার মতো এতো ভুল মনে হয় কেউ করে না,আর ডইল্লে এইল্লে ভুল হনিক্কে নো গরে
আমি তো সত্যি ভেবেই ভুলে জড়ায় পরতাম,আইতো আসলেই ভুল ফোতে জরাই যাইতেম
আমি কিভাবে বুঝতাম যে মানুষগুলো সঠিক না,আই কেনে বুজিত্তাইত্তাম মানুষ তারা সঠিক নো
আমার প্রথম ভালোবাসার মানুষটা ছিলো ভুল,আর প্রথম ভালোবাসা আসিল ভুল
সে পুরো ৬ বছর আমাকে ঠকাইছে,সে গোডা ৬ কান বছর আরে ঠকাইয়ে
প্রতিবারই আশা করতাম যে ভালো হয়ে গেছে,ফ্রতিবারই আসা গইত্তেম ভালা অই গিয়ই
শেষ বার যে মেয়ের জন্য আমায় ছেড়ে গেছিলো শুনছি সে নাকি অনেক সুন্দর,শেষ বার যেই মায়া ফোয়ার লাই আরে ছাড়ি দিয়ি ফুইন্নিদে মাইয়াফোয়া ইবা নাকি বহুত সুন্দর
দুনিয়া তে আসলে চেহারার সুন্দরই সব,দুনিয়াত আসসলে চেহারার সুন্দর এই বেয়াক্কিসু
আমার মনটা কেউ বুঝে নাহ,আর মন নো বুঝে
তারপর আমি আবার ভুল করছিলাম,তারফর আই আবার ভুল গরি বেলাইয়ি
কোনো এক ভাবে আমাদের কথা শুরু হয়,হোন এক ভাবে আরার হতা শুরু অয়
ধিরে ধিরে দুর্বল হয়ে পড়লাম তার প্রতি,ধিরে ধিরে আই দূরবল অই যাইলাম তার ফ্রতি
সেও আমার প্রতি দুর্বল হয়ে গেছিলো,সেও আর ফ্রতি দুরবল অই গিয়ি
একটা সময় পর বুঝলাম যে আমরা একে অপরকে চাই,এক্কান সময় ফর বুঝিলাম যে আই একে অফরকে চাইর
প্রথম দিকে আমি খারাপ ব্যবহার করতাম,ফ্রথম আই হারাফ আসরন গইত্তেম
প্রথমবার ঠকার পর একটা ভয় ঢুকে গেছিলো ভিতরে,ফ্রথম বার থকিবার ফর ডোর আই গিয়ি আর ভিতরত
তাকে আমি বলে নিছিলাম যে আমার তোমাকে বিশ্বাস করতে সময় লাগবে,তারে আই হইলাম যে আত্তুন তোওয়ারে বিশ্বাস গইত্তে সময় লাইবো
সে বলছিলো সমস্যা নাই,সে হইয়েদে সমইস্যা নাই
আমি তোমার পাশে আছি,আই তোওয়ার ডাহদ্দি আসি
তোমার সব কথা মেনে নিবো,তোওয়ার হতা মানি লইউম
ঝে মাঝে ঝগড়া হতো কিন্তু সেইদিনই সব ঠিক হয়ে যাইতো,মাঝদ্দি ঝগড়া অইতো আবার সেই দিনত থিক অই যাইতো
সে আমার ছোট ছোট পছন্দের জিনিসও খেয়াল রাখতো,সে ছোট্ট ছোট্ট পছন্দ হেয়াল রাখিতো
দ্বিতীয় জনকে পেয়ে নিজেকে খুব ভাগ্যবতী মনে হতো,আরেকজন ফাইয়েরে নিজেরে বহুত ভাগ্যবতি মনত অইতো
আমার সাথে বাজে ব্যবহার করতে থাকলো,আর ফোয়ারিত হারাফ ব্যবহার গইরতো
ততোদিনে আমি তার প্রতি অনেকটাই দুর্বল হয়ে গেছি,ততোদিনত আই তার ফ্রতি দুরবল অই গিয়ি
সে আমাকে ঝগড়া হলেই সব সময় অপমান করে,সে আর ফোয়ারিত ঝগড়া অইলেই আরে অফমান গরে
পরিবার তুলে গালি দেয়,ফরিবার তুলিয়েরে গাইল দে
আমি দ্বিতীয় বার ভালোবেসেও ঠকে গেছি,আই আরো একবার ভালোবাসিয়েরে ঠকি গেইলাম
তবে আমি তাকে এখনো ভালোবাসি,তবে তারে আই এহনো ভালোবাসি
তার দেয়া কথা গুলা মাঝে মাঝে মনে পড়লে অনেক হাসি আসে,তার হতা বাত্রা মাঝদ্দি মনত ফরিলে বহুত আসি আইয়ে
তার কি একটুও মনে পড়ে না আগের দিনের কথা?,তার এক্কানো কি মনত নো ফরে আগের হতা?
সে কিভাবে পারলো এতো স্বপ্ন দেখানোর পরে আমাকে ঠকাইতে?,সে কেনে ফাইল্ল এতো সপ্ন দেহাইয়েরে আরে ঠহাইতো?
এখন নিজেকেই আর বিশ্বাস করতে পারি না,এহন আর নিজেরে বিশ্বাস গরিন্নো ফারি
কি ছিলাম আর কি হলাম,কি আসিলাম কি অই গিয়ি
আমার বিয়ের বয়স ২২ মাস,আর বিয়ার বয়স ২২ মাস
আমার ৮ মাসের একটা ছেলে বাবু আছে,আর ৮ মাসর এক্কান মরত ফোয়া আসে
এই করোনায় অনার্স ফাইনাল ইয়ারে থাকাকালীন বিয়ে হয়ে যায় আমার,এই হরনাত অনার্স ফাস ফাইনালত তাকিতেই বিয়া অইয়ে আর
আমি গনিতে অনার্স করতেছিলাম,আই গনিতের উওরত অনার্স গরিত্তাসিলাম
এদিকে যার সাথে বিয়ে হয় সে অশিক্ষিত,এ সাইডদ্দি যার ফোয়ারিত বিয়া অইয়ে সে অসিক্ষিত
সে স্কুলেই যাইনি কখনো,সে স্কুলত নো যায় হোন দিন
"বিয়ের সময় বলছিলো ছেলে শিক্ষিত,ঢাকায় চাকরি করে",বিয়ার সমত অইলো আরারে ফোয়া শিক্ষিত ঢাহাত চরি গরে
আমার বর ছোটবেলায় তার মা হারায়,আর বর ছোটহালত তার মা ইন্তেকাল অই যায়
বিয়ের সময় বলছিলো বরের বাড়ি আছে,বিয়ার হইলো বরর বাড়ি আসে
এসব নিয়ে আমি সমস্যা করি নি,ইয়েন লইয়েরে বেঝাল নো গরি আই
বোনকে বাসায় পাঠিয়ে দিয়েছি,ভোইনেরে বাসাত ফাডাই দিয়ে
আমি এক কাপড়ে বাসা থেকে বের হয়ে এসেছি,আই এক হরত বাসাত্তুন আই গিয়ি
কাল ঘটনাটা শোনার পর থেকে আমার দম বন্ধ লাগছিল,হালিয়া ঘটনাকান ফুনিবার ফরত্তুন আর দম বন্দ লার
আমার স্বামী বাসায় ফিরলেই আমার কোলে মাথা রাখে,আর জামাই বাসাত আইলেইয়ার হোলত মাতা রাহে
আমি একজন মেয়ে বয়স ২৩ বছর,আই একজন ২৩ বছরর মাইয়ে ফোয়া
আমার বিয়ে হয়েছে ১ মাস,আর বিয়া অইয়ে ১ মাস
আমার স্বামী ভালো অনেক,আর জামাই বহুত ভালা
আমি কিছুই জানতাম না,আই হোনো কিছু নো জানিতাম
কি হবে তার জন্য কেঁদে?,কি অইবো তার হাদিয়েরে?
সে তো বুঝবেনা,সে তো নো বুঝে
তুমি বোকার মতো তাকে নিয়ে ভেবে বসে থাকবে কেন,তুই বলদের ডেক্কে ইতেরে লই বই তাহিবি কিল্লাই
আমার ইচ্ছা আমি ভাব্বো ,আর ইচ্ছে আই ভাইব্বুম
আমি তো বোকাই ,আই তো বলদ
আমি কি বোকা? ,আই কি বলদ নে?
তুমি অনেক চালাক,তুই বত বড় সেয়ানা
আমি বার বার ভালোবেসে ঠকে গেছি,আই বারবার মঅব্বত গরি ধরা হাই 
ভালোবাসা অনেক কষ্টের ,মঅববত বত হষ্টের
তোমার এক ফোটা হাসি দেখার জন্য বসে আছি ,তোয়ার এক্কান হাসি দেইবারলাই বই আসি
একটু আগেই ঝাড়ু দেওয়া হয়েছে,এক্কানা আগে ঝাড়ু মারা ওইয়্যে
পানি দিয়ে মুছে দেওয়া হয়েছে,ফানি দিয়েনে দুই দিইয়্যে
শিক্ষার্থী নতুন ভর্তি হয়েছে ,শিক্ষার্থী নতুন ভর্তি অইয়ে
এলাকায় আগুন লেগেছে,এলাকাত অন লাইগ্গে
আমার নানা অসুস্থ ,আর নানা গম নাই
অনেক শিক্ষার্থী নতুন ভর্তি হয়েছে ,বহুত শিক্ষার্থী নতুন ভর্তি অইয়ে
রোগীকে হাসপাতালে থাকতে হবে,রোগিরে হাসপাতালত তাহন ফরিবু
নানাকে দেখতে গিয়েছিলাম ,নানারে চাইতু গেইলাম
আমি আগে দেখিনি,আই আগে নো‌ চাই
নানা আমাকে দেখে খুব খুশি হলো,নানা আরে চাই হুশি অইয়্যে
সেটা একধরনের যোগাযোগ,ইবে একডৈল্লে যোগাযোগ 
আমি গতকাল স্কুলে আসিনি,আই গতকাল স্কুলত নো যাই
তাদেও কেও স্কুলে আসেনি ,ইতারা কেউ স্কুলত নো যাই
তাদের জানার কথা নয়,ইতারা জানিবের হতা নো
বড়ো মামা  বিদেশ থেকে এসেছেন,বড় মো বিদেশুরতুন আইস্যে
ক্লাসে কোন বিষয় নিয়ে কথা বলছিলেন?,ক্লাসত হোন বেফারে হতা হইয়্যে?
কেন পলাশের কথায় বিরক্ত হয়েছিল,পলাশর হতাত বিরক্ত কিললাই অইলে?
ইচ্ছা ছিল কোনো জায়গায় ঘুরতে যাব,ইচ্ছে আসিল হোনো মিক্কে ঘুইরতু যাইয়্যুম
অনেকবার লালবাগ কেল্লার কথা শুনেছি,বোতবার লালবাগ হেল্লার হোতা উইন্নি
ঠিক করা হলো সবাই মিলে সেখানে যাব,ঠিক‌ গোরন‌ অইলে বেকে মিলে এডে যাইউম
আমার মামাতো বোনও যেতে চাইল,আর মতো বইন ও যাইতু আসিল
লিখে শিক্ষকের কাছে জমা দাও,লিহি এনে মাষ্টর অর হাসোত জমা দে
সব অঞ্চলের মানুষের ভাষা এক রকমের নয়,বেক অঞ্চল অর মাইনষের ভাষা‌ এক‌ডইল্লে নই
অনেক শব্দের উচ্চারণ আলাদা হয়,বোত শব্দের উচ্চারণ এক এক রহমর অই
দক্ষিণের জেলা কক্সবাজার,দইন অর জেলা হক্সবাজার
সাড়ে চারটায় সবার মাঠে আসার কথা,সাড়ে চারটার সমত বেকের মাডত আইবের হতা
আজ কোনো খেলা হবে না ,আজিয়ে হোনো খেলা অইতু নো
একটা পোড়োবাড়ি আছে,উগ্গো পোড়াবাড়ি আছে
এখানে কী করছো তোমরা?,এডে কিত্তে লাইগ্গু তোরা
চারপাশে কত বড়ো বড়ো গাছ!,চারিমিক্কে হতর হতর‌ গাছ
দিনের বেলাতেও বাড়ির ভিতরটা অন্ধকার হয়ে থাকে,দিন অর বেলাত অ বাড়ির ভিতুর আন্ধা অই‌ তাহে
রেলগাড়ি চলে রেললাইনের উপর দিয়ে,রেলগাড়ি চলে রেললাইনর উওদ্দিয়েরে
উপহার পেতে প্রত্যেকের ভালো লাগে,উপহার ফাইতু বেগ্গুনুরতুন ভালা লাগে
অচেনা লোকের উপহার গ্রহণ করি না,অচেনা লোকর উফহার গ্রহন নো গরি
উপহার দিতে অনেকের ভালো লাগে,উপহার দিতু বেগ্গুনুরতুন ভালা লাগে
খেলার মাঠে আমরা রোজ খেলতে যাই,হেলার মাডত আরা রোজ কেলিবের লাই যাই
এক চানাচুরওয়ালাকে দেখা যায়,এক্কান চানাচুরবালত দেহা যায়
তিনি চানাচুর বিক্রি করতে আসেন,তিনি চানাচুর বেসিবেল্লাই আইয়ে এডে
তুমি ভালো আছ জেনে খুশি হলাম,তুই গম আসোস জানি এনে খুশি অইলাম
চিঠি সাধারণত খামে ভরে পাঠানো হয়,চিঠি সাধারণত হামত ভরি এনে ফাডায়
"খাওয়া-দাওয়ার কথা বলে লাভ নেই, দুঃখ পাবে","খন-দন অর হতা হই লাভ নাই ,হষ্ট ফাবে"
তবে বেঁচে আছি ও খুব ভালো আছি,বাচি আসি ভালা ও আসি
তোমরা ভালো আছ জেনে খুশি হলাম,তোওয়ারা ভালো আছ জানিয়েরে কুশি অইলাম
আমার জন্য বেশি চিন্তা কোরো না,আর লাই চিন্তা নো গইজ্জ
এখন ঘরে ঘরে টেলিভিশন দেখা যায়,এহন গরত গরত টেলিভিশন দেহা যার
"টেলিভিশনে কথা শোনা যায়, ছবিও দেখা যায়",টেলিভিশনর হতা ফুনা যায় আর ছবিও দেহা যায়
রেডিওতে কেবল কথা শোনা যায়,রেদিওত হাইল্লে হতা ফুনা যায়
হাজার বছর আগে সব পুরুষই পরত ধুতি পরত ,আজার বছর আগদ্দি বেয়াগ ফুরুষই ধুতি ফইত্তো
তখনো মেয়েরা আঁচল টেনে ঘোমটা দিত,তহনো মাইয়াফোয়ারা আচল টানিয়েরে মুখ ডাহিতো
ভাত বাঙালির বহুকালের প্রিয় খাদ্য,ভাত বাঙালি বহুকালোর ফ্রিয় হানা
মেয়েরা বাগান করতে ভালোবাসত,মাইয়া ফোয়ারা বাগান গইত্তে ভালোবাসিত
মেয়েরা সাঁতার কাটতে ভালোবাসত,মাইয়াফোয়ারা সাতার হাডিবেল্লাই ভালোবাসিত
ধনী লোকেরা ঘোড়া আর হাতির খেলা দেখত,ধনী মানুষ তারা ঘোড়া আর হাতির খেলা দেহিত
যাতায়াতের প্রধান উপায় ছিল নৌকা,আসাযাইবার মেইন উফায় আসিল নৌকা 
বড়ো বোনের ঘরে তার জন্যে ছোটো খাট দেওয়া হলো,ডড় ভোইনর ঘরত ছোড এক্কান হাট দিয়ি
তার কাছে সব দেশের টাকা আছে,তার হাসদ্দি বেয়াগ দেসত টেয়া আসে
সে তোকে কিছু উপহার দিলো না?,সে তোরে কিছু ঊফহার দিয়ে না?
আম্মা নানাকে একটা চিঠি লিখছেন,আম্মা নানার হাসে এক্কান চিঠি লিক্কে
আমাদের নামের প্রয়োজন হয় না,আরার নামর ফ্রয়জন নো ফরে
আমরা এমনিতেই পরিচয় রাখতে পারি,আরা এনেই ফরিচয় রাখিত্তারি
 তোমাকে একটা উপহার দিতে চাই,তোওয়ারে এক্কান উফহার দিতাম চাই
সেটি টেবিলের উপরে রাখা ছিল,ইয়ান টেবিলর উওরদ্দি রাহা আসিল
আমার প্রিয় একটা বই হারিয়ে গেছে,আর ফ্রিও এক্কান বই আসিল
ফোন করে জানাল,ফোন গরি জানাল
তার প্রিয় একটা বই হারিয়ে গেছে,তার ফ্রিও এক্কান বই আরাই গিয়ি
কে নিয়েছে ?,হোনে লইয়ে?
সে ব্যাপারে নিশ্চিত নই,সে এই ব্যফারত নিশ্চিত নো
সে হয়তো পড়ার জন্যই নিয়েছে,সে হয়ত ফোড়িবেল্লাই লইয়ে
কোনো ব্যাপারে নিশ্চিত না হয়ে কাউকে দোষ দেওয়া ঠিক নয়,হোনো ব্যফারত নিশ্চিত নো অইয়েরে হনিক্কেরে দোষ দন ঠিক নো
"যে নিয়েছে, সে হয়তো পড়ার জন্যই নিয়েছে",যে লইয়ে সে হয়তো ফইবেল্লাই লইয়ে
বইটা পাওয়া যায় কি না,বই ইয়েন ফোন যাইবো না?
বইটা পাওয়া গেছে,বই ইহেন ফোন গিয়ে
বাবা বইটা বুকশেলফে তুলে রেখেছিলেন,বাবা বই ইবা বুক শেল্ফত তুলি রাইক্কিলো
তিনি বুঝতেও পারেননি,তিনি বুঝিত নো ফারে
আর পারুলও না বুঝে অন্যদের দোষ দিচ্ছিল,আর ফারুলও নো বুঝি আন্যদের দোষ দিয়ি
তুমি আমাকে দোষ দিচ্ছ কেন ?,তুই আরে দোষ দিও দে কিল্লাই?
সে রাতের ট্রেনে রাজশাহী থেকে রওনা দিয়েছিল,সে লাতিয়ার ট্রেনর রাজশাহীত্তুন রওনা দিয়ি
এই প্রথম সে ঢাকায় এসেছে,এই ফ্রম সে ঢাহাত আইসসে
বাসায় যাওয়ার পথে ফ্লাইওভার দেখে হাবিব অবাক হয়ে গেল,বাসায় যোনের ফোথত ফ্লাইওভার সাইয়েরে হাবিব অবাক অই গিল
এটাকে তার মনে হলো দোতলা রাস্তা,ইয়ানোরে দোতালা রাস্তা
রাস্তার পাশে একটি ফুলের দোকান,রাস্তার ডাহদ্দি এক্কান ফুলোর দোহান
নানা রকম ফুল থরে থরে সাজানো রয়েছে,নানা ডইল্লে ফুল ঝাকত ঝাকত সাজাই রাইক্কে
তার ঠিক পাশেই একটা ফলের দোকান,এয়ার টগিক ডাহদ্দি এক্কান ফলের দোহান
সেখান থেকে বড়ো বোন কিছু পেয়ারা কিনল,ইয়ানত্তুন ভোইন ডর ইবা কিছু ফল কিন্নে
সবার সাথে কুশল বিনিময় হলো,বেয়াক্কুনের ফোয়ারিত হতাবাত্রা হইয়ে
টেবিলে নাশতা দেওয়া ছিল,টেবিলত নাস্তা দি রাইক্কে
হাত-মুখ ধুয়ে সে নাশতা করতে বসল,আত মুখ দুইয়েরে হাইবেল্লাই বইসসে
সেদিন ছিল বাংলাদেশ দলের ক্রিকেট খেলা,সেইদিন আসিল বাংলাদেশর ক্রিকেট হেলা
খাওয়া শেষ করেই টেলিভিশনের সামনে গিয়ে বসল,হানা শেষ গরিয়েরে টেলিভিশন এর সামনে গিয়েরে বইসসে
সব মিলিয়ে তার খুব আনন্দ হচ্ছিল,বেয়াক্কুন মিলিয়েরে আনন্দ অর
মেয়ে কী কাণ্ড করেছে জানো?,মাইয়াফোয়া ইবা কি হান্ড গরের জানোনা?
সোনার চুড়িটা ভেঙে দু-টুকরো করেছে,সোনার চুরিয়ান ভাঙিয়েরে দুই ভাগ গরি ফেইল্লে
ইচ্ছা করে ভেঙেছি নাকি?,ইচ্ছা গরিয়েরে ভাইঙেনা?
পা পিছলে পড়ে গেলাম তো কী করব?,ফা ফিচ্ছিল হাইয়েরে ফোরি গেইলাম তো আই কিত্তাম?
আমার যে ব্যথা লাগল সেটা বুঝি কিছু নয়,আর যে ব্যথা লাইজ্ঞে ইয়ান কি বুঝি কিচ্ছু নও
মেয়েকে পরতে দিয়েছিলেন,মাইয়াফোয়ারে ফইত্তে দিয়িলেন
আমার নানা সুস্থ,আর নানা সুস্থ
রোগীকে হাসপাতালে ভর্তি হতে হবে ,রোগীরে হাসফাতালত ভত্তি গরন ফরিব
এত বড়ো হাসপাতাল আমি আগে দেখিনি,এইল্লে ডর হাসফাতাল আই হোন সমত নো দেহি
আমাকে দেখে খুব খুশি হলো,আরে দেহিয়েরে খুব খুশি অইয়ে
আমি অন্যের সাথে কথা বলি ,আই অন্যের ফোয়ারিত হতা হইর
তিনি বিদেশ থেকে এসেছেন,তিনি বিদেশেত্তুন আইসসে
তিনি কোন বিষয় নিয়ে কথা বলছিলেন?,তিনি হোন বিষয় লইয়েরে হথা হন্না?
চলো ঐতিহাসিক জায়গাইয় ঘুরতে যাব,চলো ঐতিহাসিক জায়গাত গুরিবেল্লাই যাইয়ুম
ঠিক করা হলো সবাই মিলে যাব,ঠিক গইজ্জে বেয়াক্কুন মিলিয়েরে যাইয়ুম
আমাদের যাওয়ার কথা শুনে সেও যাইতে চাইল ,আরার যাইবের হতা ফুনিয়েরে সেও যাইবেল্লাই চাইয়ে
সব মানুষের ভাষা এক রকমের নয়,বেয়াক মানুষের ভাষা এক ডইল্লে নো
সে মাঠে আসেনি ,সে মাঠত নো আইয়ে
জরুরি সভা হবে,জরুরি সভা অইব
হাসপাতালে আমি আগে যাইনি,হাসফাতালত আগে আই নো যাই
আমি অন্যের সাথে কথা বলি না,আই অন্যের ফোয়ারিত হতা নো হই
তিনি কি বিদেশ থেকে এসেছেন,তিনি কি বিদেশেত্তুন আইসসে না
সবার ভাষা এক রকমের নয়,বেয়াক ভাষা এক ডইল্লে নো
তার কাছে অনেক টাকা আছে,তার হাসে বহুত টেয়া আসে
কয়েক দিন অপেক্ষা করো ,হয়েক্কান দিন অফেক্ষা গরন
